RDC,RDC_NAME,RDC_LAT,RDC_LGT,CUSTOMER,QUANTITY,WEIGHT,CUSTOMER_LGT,CUSTOMER_LAT,CUSTOMER_NAME
311,石家庄市,38.045474,114.502461,394,21000381.02,156824.5404,114.649653,33.620357,周口市
311,石家庄市,38.045474,114.502461,433,6914476.003,51635.23083,129.5091,42.89119,延边朝鲜族自治州
311,石家庄市,38.045474,114.502461,414,4386333.996,32755.82535,123.770519,41.297909,本溪市
311,石家庄市,38.045474,114.502461,972,1224357.916,9143.137323,102.10327,36.502916,海东市
311,石家庄市,38.045474,114.502461,933,3091825.688,23088.82597,106.684691,35.54279,平凉市
311,石家庄市,38.045474,114.502461,421,4843320.568,36168.46388,120.451176,41.576758,朝阳市
311,石家庄市,38.045474,114.502461,311,181824060.9,1357807.497,114.502461,38.045474,石家庄市
311,石家庄市,38.045474,114.502461,427,6910593.702,51606.23897,122.06957,41.124484,盘锦市
311,石家庄市,38.045474,114.502461,477,6201506.76,46310.99058,109.99029,39.817179,鄂尔多斯市
311,石家庄市,38.045474,114.502461,456,2374565.329,17732.54095,127.499023,50.249585,黑河市
311,石家庄市,38.045474,114.502461,953,2994253.124,22360.18335,106.199409,37.986165,吴忠市
311,石家庄市,38.045474,114.502461,352,9066363.653,67704.88173,113.295259,40.09031,大同市
311,石家庄市,38.045474,114.502461,459,9156378.731,68377.08731,125.11272,46.590734,大庆市
311,石家庄市,38.045474,114.502461,531,268724531.2,2006754.119,117.000923,36.675807,济南市
311,石家庄市,38.045474,114.502461,22,272864554,2037670.566,117.190182,39.125596,天津市
311,石家庄市,38.045474,114.502461,546,16146086.7,120574.1278,118.66471,37.434564,东营市
311,石家庄市,38.045474,114.502461,377,25376056.23,189500.7692,112.540918,32.999082,南阳市
311,石家庄市,38.045474,114.502461,398,5343500.245,39903.65553,111.194099,34.777338,三门峡市
311,石家庄市,38.045474,114.502461,392,5584784.95,41705.49726,114.295444,35.748236,鹤壁市
311,石家庄市,38.045474,114.502461,478,3339111.698,24935.48365,107.416959,40.757402,巴彦淖尔市
311,石家庄市,38.045474,114.502461,472,31442840.17,234805.6902,109.840405,40.658168,包头市
311,石家庄市,38.045474,114.502461,935,4301251.446,32120.45442,102.187888,38.514238,金昌市/武威市
311,石家庄市,38.045474,114.502461,373,28177455.4,210420.7771,113.883991,35.302616,新乡市
311,石家庄市,38.045474,114.502461,418,3965021.81,29609.59244,121.648962,42.011796,阜新市
311,石家庄市,38.045474,114.502461,537,36830680.23,275040.4621,116.587245,35.415393,济宁市
311,石家庄市,38.045474,114.502461,482,2320140.617,17326.11354,122.070317,46.076268,兴安盟
311,石家庄市,38.045474,114.502461,943,3572419.945,26677.75959,104.173606,36.54568,白银市
311,石家庄市,38.045474,114.502461,467,2533406.416,18918.7185,130.975966,45.300046,鸡西市
