,RDC,RDC_NAME,RDC_LAT,RDC_LGT,CUSTOMER,QUANTITY,WEIGHT,CUSTOMER_LGT,CUSTOMER_LAT,CUSTOMER_NAME
73,28,成都市/资阳市/眉山市,30.659462,104.065735,830,10893996.5366755,81353.0953876234,105.443348,28.889138,泸州市
74,28,成都市/资阳市/眉山市,30.659462,104.065735,835,4543326.21285435,33928.196096547,103.001033,29.987722,雅安市
75,28,成都市/资阳市/眉山市,30.659462,104.065735,893,95676.4171350227,714.482757849936,91.766529,29.236023,山南市
76,28,成都市/资阳市/眉山市,30.659462,104.065735,837,1570518.51150579,11728.1607208542,102.221374,31.899792,阿坝州
77,28,成都市/资阳市/眉山市,30.659462,104.065735,895,51907.0239948058,387.62607093923,97.178452,31.136875,昌都市
78,28,成都市/资阳市/眉山市,30.659462,104.065735,975,106579.262357676,795.901932567765,100.242143,34.4736,果洛藏族自治州
79,28,成都市/资阳市/眉山市,30.659462,104.065735,817,12439119.319425,92891.6084307871,106.082974,30.795281,南充市
80,28,成都市/资阳市/眉山市,30.659462,104.065735,812,4380336.57738816,32711.0384339174,101.716007,26.580446,攀枝花市
81,28,成都市/资阳市/眉山市,30.659462,104.065735,825,6247962.36157875,46657.9070654737,105.571331,30.513311,遂宁市
82,28,成都市/资阳市/眉山市,30.659462,104.065735,892,228722.731301313,1708.03268701533,88.885148,29.267519,日喀则市
83,28,成都市/资阳市/眉山市,30.659462,104.065735,834,5377472.87851212,40157.3529564806,102.258746,27.886762,西昌市
84,28,成都市/资阳市/眉山市,30.659462,104.065735,827,4516859.16104573,33730.5480999494,106.753669,31.858809,巴中市
85,28,成都市/资阳市/眉山市,30.659462,104.065735,813,6306031.8633081,47091.5526699491,104.773447,29.352765,自贡市
86,28,成都市/资阳市/眉山市,30.659462,104.065735,23,330959622.229524,2471507.09347544,106.504962,29.533155,重庆市
87,28,成都市/资阳市/眉山市,30.659462,104.065735,818,9522644.84960468,71112.2527149953,107.502262,31.209484,达州市
88,28,成都市/资阳市/眉山市,30.659462,104.065735,831,10120368.5626159,75575.8739467757,104.630825,28.760189,宜宾市
89,28,成都市/资阳市/眉山市,30.659462,104.065735,816,17749357.9857308,132546.876476508,104.741722,31.46402,绵阳市
90,28,成都市/资阳市/眉山市,30.659462,104.065735,826,5857356.08055847,43740.9766321045,106.633369,30.456398,广安市
91,28,成都市/资阳市/眉山市,30.659462,104.065735,896,142053.0123937,1060.80924741056,92.060214,31.476004,那曲市
92,28,成都市/资阳市/眉山市,30.659462,104.065735,894,872227.617812262,6513.53397742633,94.362348,29.654693,林芝市
93,28,成都市/资阳市/眉山市,30.659462,104.065735,839,5010252.41043319,37415.060752941,105.829757,32.433668,广元市
94,595,泉州市,24.908853,118.589421,596,30911114.7262682,230834.924207832,117.661801,24.510897,漳州市
95,595,泉州市,24.908853,118.589421,594,37299761.1517425,278543.417624337,119.007558,25.431011,莆田市
96,595,泉州市,24.908853,118.589421,592,200280351.220091,1495633.5319386,118.11022,24.490474,厦门市
97,595,泉州市,24.908853,118.589421,595,171029183.430643,1277194.59308241,118.589421,24.908853,泉州市
98,595,泉州市,24.908853,118.589421,597,13278875.4199437,99162.654866119,117.02978,25.091603,龙岩市
99,595,泉州市,24.908853,118.589421,598,12556064.1853566,93764.9175787387,117.635001,26.265444,三明市
100,595,泉州市,24.908853,118.589421,599,17780581.2062524,132780.042113091,118.178459,26.635627,南平市
101,595,泉州市,24.908853,118.589421,591,177205918.556904,1323320.59653937,119.306239,26.075302,福州市
102,595,泉州市,24.908853,118.589421,593,22498005.3157201,168008.349031437,119.527082,26.65924,宁德市
103,851,贵阳市,26.578343,106.713478,773,20576908.1862636,153662.172447351,110.299121,25.274215,桂林市
104,851,贵阳市,26.578343,106.713478,772,25446687.7067991,190028.223833275,109.411703,24.314617,柳州市/来宾市
105,851,贵阳市,26.578343,106.713478,876,3770962.3367916,28160.4145600144,104.24401,23.36951,文山州
106,851,贵阳市,26.578343,106.713478,879,3065042.6116872,22888.8179940448,100.972344,22.777321,普洱市
107,851,贵阳市,26.578343,106.713478,873,6594167.20046039,49243.2608597746,103.384182,23.366775,红河州
108,851,贵阳市,26.578343,106.713478,88,3929369.61701928,29343.3525695017,100.22549,26.87721,丽江市
109,851,贵阳市,26.578343,106.713478,770,5159178.95568464,38527.1994800649,108.345478,21.614631,防城港市
110,851,贵阳市,26.578343,106.713478,777,8135339.67696978,60752.2742019535,108.624175,21.967127,钦州市
111,851,贵阳市,26.578343,106.713478,871,135383611.168998,1011004.16144556,102.712251,25.040609,昆明市
112,851,贵阳市,26.578343,106.713478,883,2520295.38117855,18820.8092282518,100.08697,23.886567,临沧市
113,851,贵阳市,26.578343,106.713478,53,3975651.56294044,29688.9722462267,106.2553,26.40574,安顺市
114,851,贵阳市,26.578343,106.713478,870,3572893.9819134,26681.2995526405,103.717216,27.336999,昭通市
115,851,贵阳市,26.578343,106.713478,779,8555494.24866594,63889.8623986884,109.119254,21.473343,北海市
116,851,贵阳市,26.578343,106.713478,875,3702484.56818086,27649.0431433845,99.167133,25.111802,保山市
117,851,贵阳市,26.578343,106.713478,776,7153451.55793259,53419.8285251914,106.616285,23.897742,百色市
118,851,贵阳市,26.578343,106.713478,692,11113554.5574998,82992.6887683542,98.578363,24.436694,德宏州
119,851,贵阳市,26.578343,106.713478,691,4315707.98717776,32228.411525927,100.797941,22.001724,西双版纳
120,851,贵阳市,26.578343,106.713478,854,6554743.14418427,48948.8538439471,107.517156,26.258219,黔南州
121,851,贵阳市,26.578343,106.713478,771,144281297.388167,1077449.4107423,108.320004,22.82402,南宁市/崇左市
122,851,贵阳市,26.578343,106.713478,774,13556344.9302478,101234.713863286,111.297604,23.474803,梧州市/贺州市
123,851,贵阳市,26.578343,106.713478,851,90675350.8604563,677136.296401658,106.713478,26.578343,贵阳市
124,851,贵阳市,26.578343,106.713478,859,3986807.06975021,29772.2782218195,104.897971,25.08812,黔西南州
125,851,贵阳市,26.578343,106.713478,874,6145243.33847889,45890.8322407082,103.797851,25.501557,曲靖市
126,851,贵阳市,26.578343,106.713478,856,4945388.38197089,36930.6756627719,109.191555,27.718346,铜仁市
127,851,贵阳市,26.578343,106.713478,877,4897115.63971697,36570.1893167386,102.543907,24.350461,玉溪市
128,851,贵阳市,26.578343,106.713478,86,601236.609741967,4489.85448987449,98.66526,27.741779,怒江州
129,851,贵阳市,26.578343,106.713478,887,874913.826055524,6533.59377409594,99.706463,27.826853,迪庆州
130,851,贵阳市,26.578343,106.713478,878,2942820.13661876,21976.0972455775,101.546046,25.041988,楚雄州
131,851,贵阳市,26.578343,106.713478,778,4974146.61139875,37145.4334859406,108.062105,24.695899,河池市
132,851,贵阳市,26.578343,106.713478,872,6825497.13388016,50970.7633494398,100.225668,25.589449,大理州
133,851,贵阳市,26.578343,106.713478,857,5990402.39472476,44734.5265612699,105.28501,27.301693,毕节市
134,851,贵阳市,26.578343,106.713478,858,4753166.48032802,35495.2202128554,104.846743,26.584643,六盘水市
135,851,贵阳市,26.578343,106.713478,775,21691447.5888431,161985.21808318,110.154393,22.63136,贵港市/玉林市
136,851,贵阳市,26.578343,106.713478,855,5261333.87505342,39290.0617475298,107.977488,26.583352,黔东南州
137,851,贵阳市,26.578343,106.713478,52,16661048.6165854,124419.708855217,106.927231,27.725451,遵义市
138,531,济南市,36.675807,117.000923,631,40865365.0108757,305170.276728798,122.116394,37.509691,威海市
139,531,济南市,36.675807,117.000923,543,22643392.3865804,169094.056026478,118.016974,37.383542,滨州市
140,531,济南市,36.675807,117.000923,539,69123801.6932474,516195.797728978,118.326443,35.065282,临沂市
141,531,济南市,36.675807,117.000923,536,121338334.264368,906118.250391592,119.107078,36.70925,潍坊市
142,531,济南市,36.675807,117.000923,546,16146086.6951271,120574.127834849,118.66471,37.434564,东营市
143,531,济南市,36.675807,117.000923,530,28856355.0348719,215490.595741227,115.469381,35.246531,菏泽市
144,531,济南市,36.675807,117.000923,537,36830680.2294957,275040.462131044,116.587245,35.415393,济宁市
