RDC,RDC_NAME,RDC_LAT,RDC_LGT,CUSTOMER,WEIGHT,CUSTOMER_LGT,CUSTOMER_LAT,CUSTOMER_NAME,TYPE
572,HuZhou,30.867198,120.102398,572,515624.47073277866,120.102398,30.867198,HuZhou,Normal
572,HuZhou,30.867198,120.102398,573,1353653.0667142035,120.750865,30.762653,JiaXing,Normal
572,HuZhou,30.867198,120.102398,574,3061470.925950359,121.549792,29.868388,NingBo,Normal
572,HuZhou,30.867198,120.102398,575,1187778.0803266568,120.582112,29.997117,ShaoXing,Normal
572,HuZhou,30.867198,120.102398,576,1098177.7406958279,121.428599,28.661378,TaiZhou,Normal
572,HuZhou,30.867198,120.102398,577,2051554.4300462513,120.672111,28.000575,WenZhou,Normal
572,HuZhou,30.867198,120.102398,578,230806.1877478378,119.921786,28.451993,LiShui,Normal
572,HuZhou,30.867198,120.102398,580,95672.09155579636,122.106863,30.016028,ZhouShan,Normal
572,HuZhou,30.867198,120.102398,591,1518326.94428021,119.306239,26.075302,FuZhou,Normal
572,HuZhou,30.867198,120.102398,631,350140.58948563854,122.116394,37.509691,WeiHai,Normal
572,HuZhou,30.867198,120.102398,633,146815.9868174412,119.461208,35.428588,RiZhao,Normal
572,HuZhou,30.867198,120.102398,901,12849.605832493413,82.985732,46.746301,TaCheng,Normal
572,HuZhou,30.867198,120.102398,902,20413.692629052333,93.51316,42.833248,HaMi,Normal
572,HuZhou,30.867198,120.102398,903,13048.625119963282,79.92533,37.110687,HeTian,Normal
572,HuZhou,30.867198,120.102398,939,23311.657151700332,104.92667,33.39189,LongNan,Normal
572,HuZhou,30.867198,120.102398,976,1267.9017871804954,97.008522,33.004049,YuShu,Normal
572,HuZhou,30.867198,120.102398,991,642642.8199123119,87.617733,43.792818,WuLuMuQi,Normal
711,EZhou,30.396536,114.890593,10,11550369.149205338,116.405285,39.904989,BeiJing,Normal
711,EZhou,30.396536,114.890593,20,10628071.747825006,113.280637,23.125178,GuangZhou,Normal
711,EZhou,30.396536,114.890593,21,15164637.905591248,121.472644,31.231706,ShangHai,Normal
711,EZhou,30.396536,114.890593,22,2337944.509904354,117.190182,39.125596,TianJin,Normal
711,EZhou,30.396536,114.890593,23,2835711.7865593345,106.504962,29.533155,ChongQing,Normal
711,EZhou,30.396536,114.890593,27,2743965.248678959,114.298572,30.584355,WuHan,Normal
711,EZhou,30.396536,114.890593,28,3062426.239641449,104.065735,30.659462,ChengDu/ZiYang/MeiShan,Normal
711,EZhou,30.396536,114.890593,29,2132030.417790218,108.948024,34.263161,XiAn/XianYang,Normal
711,EZhou,30.396536,114.890593,52,142754.3687058112,106.927231,27.725451,Zunyi,Normal
711,EZhou,30.396536,114.890593,53,34063.98013249111,106.2553,26.40574,Anshun,Normal
711,EZhou,30.396536,114.890593,86,5151.485638250704,98.66526,27.741779,NuJiangZhou,Normal
711,EZhou,30.396536,114.890593,88,33667.42946365293,100.22549,26.87721,LiJiang,Normal
711,EZhou,30.396536,114.890593,310,225524.05339366297,114.490686,36.612273,HanDan,Normal
711,EZhou,30.396536,114.890593,311,1557895.8819130664,114.502461,38.045474,ShiJiaZhuang,Normal
711,EZhou,30.396536,114.890593,314,95393.19377879778,117.939152,40.976204,ChengDe,Normal
711,EZhou,30.396536,114.890593,316,1073793.25416128,116.704441,39.523927,LangFang,Normal
711,EZhou,30.396536,114.890593,318,215006.49329359713,115.665993,37.735097,HengShui,Normal
711,EZhou,30.396536,114.890593,319,273990.6653833917,114.508851,37.0682,XingTai,Normal
711,EZhou,30.396536,114.890593,335,160670.16619621112,119.586579,39.942531,QinHuangDao,Normal
711,EZhou,30.396536,114.890593,349,25756.6158676312,112.433387,39.331261,ShuoZhou,Normal
711,EZhou,30.396536,114.890593,350,38549.629821102564,112.733538,38.41769,XinZhou,Normal
711,EZhou,30.396536,114.890593,351,457407.4155378478,112.549248,37.857014,TaiYuan,Normal
711,EZhou,30.396536,114.890593,352,77681.96645395365,113.295259,40.09031,DaTong,Normal
711,EZhou,30.396536,114.890593,354,511003.8959492054,112.736465,37.696495,JinZhong,Normal
711,EZhou,30.396536,114.890593,355,62812.382547276255,113.113556,36.191112,ChangZhi,Normal
711,EZhou,30.396536,114.890593,356,31431.508693200623,112.851274,35.497553,JinCheng,Normal
711,EZhou,30.396536,114.890593,357,70547.4634663348,111.517973,36.08415,LinFen,Normal
711,EZhou,30.396536,114.890593,358,51939.70163698355,111.134335,37.524366,LvLiang,Normal
711,EZhou,30.396536,114.890593,359,109165.46385898313,111.003957,35.022778,YunCheng,Normal
711,EZhou,30.396536,114.890593,370,169598.95667827773,115.650497,34.437054,ShangQiu,Normal
