供应商代码,供应商城市,供应商_LAT,供应商_LGT,RDC代码,RDC城市,RDC_LAT,RDC_LGT,SKU_NO,品类,重量(kg)
27,武汉市,30.584355,114.298572,28,成都市/资阳市/眉山市,30.659462,104.065735,SKU6,封箱胶纸,2020470
20,广州市,23.125178,113.280637,28,成都市/资阳市/眉山市,30.659462,104.065735,SKU7,配饰用品,570
537,济宁市,35.415393,116.587245,28,成都市/资阳市/眉山市,30.659462,104.065735,SKU8,文件封,5455293
28,成都市/资阳市/眉山市,30.659462,104.065735,28,成都市/资阳市/眉山市,30.659462,104.065735,SKU9,夏装,61430
312,保定市,38.867657,115.482331,531,济南市,36.675807,117.000923,SKU1,包装胶袋,2136473
510,无锡市,31.574729,120.301663,531,济南市,36.675807,117.000923,SKU10,雨具,36010
311,石家庄市,38.045474,114.502461,531,济南市,36.675807,117.000923,SKU2,背胶运单,30667
431,长春市,43.886841,125.3245,531,济南市,36.675807,117.000923,SKU3,常规运单,246543
537,济宁市,35.415393,116.587245,531,济南市,36.675807,117.000923,SKU4,春秋冬装,78401
519,常州市,31.772752,119.946973,531,济南市,36.675807,117.000923,SKU5,防护用品,2184
27,武汉市,30.584355,114.298572,531,济南市,36.675807,117.000923,SKU6,封箱胶纸,1906132
312,保定市,38.867657,115.482331,531,济南市,36.675807,117.000923,SKU7,配饰用品,538
537,济宁市,35.415393,116.587245,531,济南市,36.675807,117.000923,SKU8,文件封,5146577
22,天津市,39.125596,117.190182,531,济南市,36.675807,117.000923,SKU9,夏装,57954
571,杭州市,30.287459,120.153576,572,湖州市,30.867198,120.102398,SKU1,包装胶袋,12687545
510,无锡市,31.574729,120.301663,572,湖州市,30.867198,120.102398,SKU10,雨具,213844
21,上海市,31.231706,121.472644,572,湖州市,30.867198,120.102398,SKU2,背胶运单,182116
755,深圳市,22.547,114.085947,572,湖州市,30.867198,120.102398,SKU3,常规运单,1464105
575,绍兴市,29.997117,120.582112,572,湖州市,30.867198,120.102398,SKU4,春秋冬装,465586
512,苏州市,31.299379,120.619585,572,湖州市,30.867198,120.102398,SKU5,防护用品,12971
591,福州市,26.075302,119.306239,572,湖州市,30.867198,120.102398,SKU6,封箱胶纸,11319649
579,金华市,29.089524,119.649506,572,湖州市,30.867198,120.102398,SKU7,配饰用品,3194
571,杭州市,30.287459,120.153576,572,湖州市,30.867198,120.102398,SKU8,文件封,30563180
575,绍兴市,29.997117,120.582112,572,湖州市,30.867198,120.102398,SKU9,夏装,344160
559,黄山市,29.709239,118.317325,711,鄂州市,30.396536,114.890593,SKU1,包装胶袋,3032464
556,安庆市,30.50883,117.043551,711,鄂州市,30.396536,114.890593,SKU10,雨具,51111
21,上海市,31.231706,121.472644,711,鄂州市,30.396536,114.890593,SKU2,背胶运单,43528
20,广州市,23.125178,113.280637,711,鄂州市,30.396536,114.890593,SKU3,常规运单,349937
716,荆州市,30.326857,112.23813,711,鄂州市,30.396536,114.890593,SKU4,春秋冬装,111280
519,常州市,31.772752,119.946973,711,鄂州市,30.396536,114.890593,SKU5,防护用品,3100
27,武汉市,30.584355,114.298572,711,鄂州市,30.396536,114.890593,SKU6,封箱胶纸,2705522
579,金华市,29.089524,119.649506,711,鄂州市,30.396536,114.890593,SKU7,配饰用品,763
571,杭州市,30.287459,120.153576,711,鄂州市,30.396536,114.890593,SKU8,文件封,7304939
510,无锡市,31.574729,120.301663,711,鄂州市,30.396536,114.890593,SKU9,夏装,82258
763,清远市,23.685022,113.051227,760,中山市,22.521113,113.382391,SKU1,包装胶袋,7994373
556,安庆市,30.50883,117.043551,760,中山市,22.521113,113.382391,SKU10,雨具,134742
20,广州市,23.125178,113.280637,760,中山市,22.521113,113.382391,SKU2,背胶运单,114750
756,珠海市,22.224979,113.553986,760,中山市,22.521113,113.382391,SKU3,常规运单,922527
716,荆州市,30.326857,112.23813,760,中山市,22.521113,113.382391,SKU4,春秋冬装,293364
760,中山市,22.521113,113.382391,760,中山市,22.521113,113.382391,SKU5,防护用品,8173
769,东莞市,23.046237,113.746262,760,中山市,22.521113,113.382391,SKU6,封箱胶纸,7132467
756,珠海市,22.224979,113.553986,760,中山市,22.521113,113.382391,SKU7,配饰用品,2013
20,广州市,23.125178,113.280637,760,中山市,22.521113,113.382391,SKU8,文件封,19257742
575,绍兴市,29.997117,120.582112,760,中山市,22.521113,113.382391,SKU9,夏装,216854
