loss,hyperparameters,iteration,status
0.07429096180926069,"{'colsample_bytree': 0.6986910184443297, 'learning_rate': 0.15943888749855767, 'max_depth': 10, 'n_estimators': 25, 'num_leaves': 12, 'reg_alpha': 0.3634907926768319, 'reg_lambda': 0.40213376931538675, 'metric': ['mape'], 'objective': 'regression'}",46,ok
0.07439180436581423,"{'colsample_bytree': 0.7733643615421573, 'learning_rate': 0.05189004350699079, 'max_depth': 6, 'n_estimators': 99, 'num_leaves': 134, 'reg_alpha': 0.5277267180348115, 'reg_lambda': 0.08652814138566234, 'metric': ['mape'], 'objective': 'regression'}",16,ok
0.07497054504725024,"{'colsample_bytree': 0.7574011237769673, 'learning_rate': 0.13310611569826825, 'max_depth': 8, 'n_estimators': 23, 'num_leaves': 129, 'reg_alpha': 0.8547705562472905, 'reg_lambda': 0.49465077019009296, 'metric': ['mape'], 'objective': 'regression'}",1,ok
0.075065213237727,"{'colsample_bytree': 0.9053709299128561, 'learning_rate': 0.19947192483418225, 'max_depth': 15, 'n_estimators': 22, 'num_leaves': 161, 'reg_alpha': 0.765810105298036, 'reg_lambda': 0.8981231238419589, 'metric': ['mape'], 'objective': 'regression'}",30,ok
0.07522277398595802,"{'colsample_bytree': 0.6734524540197988, 'learning_rate': 0.059991845112324936, 'max_depth': 7, 'n_estimators': 80, 'num_leaves': 175, 'reg_alpha': 0.5828424010562687, 'reg_lambda': 0.6675674637680613, 'metric': ['mape'], 'objective': 'regression'}",18,ok
0.07533656743548334,"{'colsample_bytree': 0.8539379114385324, 'learning_rate': 0.15317725623543943, 'max_depth': 7, 'n_estimators': 43, 'num_leaves': 194, 'reg_alpha': 0.3233505516886355, 'reg_lambda': 0.9113879910963806, 'metric': ['mape'], 'objective': 'regression'}",39,ok
0.0753898259248355,"{'colsample_bytree': 0.9724650976686003, 'learning_rate': 0.11806281618437904, 'max_depth': 2, 'n_estimators': 147, 'num_leaves': 91, 'reg_alpha': 0.12740091574855128, 'reg_lambda': 0.6679576621267037, 'metric': ['mape'], 'objective': 'regression'}",34,ok
0.07553526691082876,"{'colsample_bytree': 0.8090611413137089, 'learning_rate': 0.1247588814964126, 'max_depth': 8, 'n_estimators': 40, 'num_leaves': 197, 'reg_alpha': 0.7233375308522095, 'reg_lambda': 0.8566776065350583, 'metric': ['mape'], 'objective': 'regression'}",50,ok
0.07559590691470142,"{'colsample_bytree': 0.8603341111572502, 'learning_rate': 0.1780633293611091, 'max_depth': 10, 'n_estimators': 26, 'num_leaves': 186, 'reg_alpha': 0.6648042810218832, 'reg_lambda': 0.5553541602539632, 'metric': ['mape'], 'objective': 'regression'}",29,ok
0.07579834851692877,"{'colsample_bytree': 0.8848488256406813, 'learning_rate': 0.05837179934027722, 'max_depth': 3, 'n_estimators': 95, 'num_leaves': 121, 'reg_alpha': 0.8448869303460542, 'reg_lambda': 0.45760970706659265, 'metric': ['mape'], 'objective': 'regression'}",19,ok
0.07686036515284479,"{'colsample_bytree': 0.8793626476042659, 'learning_rate': 0.172485127394571, 'max_depth': 11, 'n_estimators': 19, 'num_leaves': 14, 'reg_alpha': 0.15291385224727572, 'reg_lambda': 0.7501121823635415, 'metric': ['mape'], 'objective': 'regression'}",25,ok
0.07724817625228918,"{'colsample_bytree': 0.7190210189136003, 'learning_rate': 0.15111391169846194, 'max_depth': 10, 'n_estimators': 49, 'num_leaves': 139, 'reg_alpha': 0.37765257590398577, 'reg_lambda': 0.3515978799538969, 'metric': ['mape'], 'objective': 'regression'}",31,ok
0.07725332592029673,"{'colsample_bytree': 0.6318226033101713, 'learning_rate': 0.07438069917579358, 'max_depth': 2, 'n_estimators': 159, 'num_leaves': 180, 'reg_alpha': 0.17452437465179024, 'reg_lambda': 0.8585850524974713, 'metric': ['mape'], 'objective': 'regression'}",42,ok
0.07835781387201216,"{'colsample_bytree': 0.6655870484514766, 'learning_rate': 0.18748255023685878, 'max_depth': 6, 'n_estimators': 33, 'num_leaves': 34, 'reg_alpha': 0.3397146848135547, 'reg_lambda': 0.15729066547293935, 'metric': ['mape'], 'objective': 'regression'}",10,ok
0.07946868140344589,"{'colsample_bytree': 0.9830079268470003, 'learning_rate': 0.02104284756448775, 'max_depth': 9, 'n_estimators': 140, 'num_leaves': 115, 'reg_alpha': 0.2216984041709537, 'reg_lambda': 0.8213662627091103, 'metric': ['mape'], 'objective': 'regression'}",37,ok
0.08356410299543139,"{'colsample_bytree': 0.6125426888856498, 'learning_rate': 0.03844336040275607, 'max_depth': 9, 'n_estimators': 70, 'num_leaves': 43, 'reg_alpha': 0.952882820496894, 'reg_lambda': 0.10217628779021559, 'metric': ['mape'], 'objective': 'regression'}",6,ok
0.08431741125860227,"{'colsample_bytree': 0.934059872550882, 'learning_rate': 0.03880938987352938, 'max_depth': 19, 'n_estimators': 60, 'num_leaves': 199, 'reg_alpha': 0.27817674426395567, 'reg_lambda': 0.3777071731592875, 'metric': ['mape'], 'objective': 'regression'}",12,ok
0.10432524031221738,"{'colsample_bytree': 0.7329695176514961, 'learning_rate': 0.006124382299202415, 'max_depth': 10, 'n_estimators': 260, 'num_leaves': 77, 'reg_alpha': 0.06673870010133198, 'reg_lambda': 0.2877252648444507, 'metric': ['mape'], 'objective': 'regression'}",3,ok
0.1355836871844867,"{'colsample_bytree': 0.7887446179546769, 'learning_rate': 0.012466456131839207, 'max_depth': 8, 'n_estimators': 80, 'num_leaves': 187, 'reg_alpha': 0.5829132737090225, 'reg_lambda': 0.49740469668013165, 'metric': ['mape'], 'objective': 'regression'}",15,ok
